580,Eastern Kentucky,52.961,318,22.6793,49,40.3299,339,31.3594,59
581,Eastern Michigan,50.5393,239,20.6425,147,32.9351,182,33.0584,95
582,Eastern Washington,51.589,281,19.0558,245,28.9813,30,43.5734,303
585,Elon,52.4688,303,19.2896,230,33.0329,185,36.8125,185
587,Evansville,50.2193,221,22.2283,66,30.366,74,35.589,157
589,Fairfield,48.7165,146,19.2567,233,33.8717,223,33.2031,99
588,Fairleigh Dickinson,53.0056,320,20.2771,168,39.1629,335,31.8539,69
592,Florida,50.518,237,21.6498,96,32.1472,144,29.8964,35
593,Florida A&M,51.1226,260,22.2858,64,39.0118,334,39.0904,236
590,Florida Atlantic,50.4986,233,16.5659,333,36.2534,293,38.1717,217
591,Florida Gulf Coast,49.3341,175,21.3901,108,35.8871,285,40.7064,266
594,Florida International,50.5006,234,18.9244,255,32.8715,177,36.1013,165
595,Florida St.,44.659,19,22.0725,77,34.9085,264,35.7071,159
596,Fordham,55.058,338,21.1193,124,39.5799,336,41.1082,269
597,Fresno St.,49.1718,169,19.6573,203,35.0621,266,30.9006,51
598,Furman,53.5836,325,19.3466,227,34.2001,238,44.5051,311
601,Gardner Webb,51.1868,263,19.3268,229,33.5018,210,38.4135,223
602,George Mason,45.558,34,19.9804,184,30.9075,95,29.8168,34
599,George Washington,47.6686,101,17.9411,308,34.5064,249,37.4921,198
603,Georgetown,45.8649,40,21.5981,98,36.2312,292,33.3139,102
604,Georgia,48.2124,125,20.358,163,33.2206,193,28.342,18
600,Georgia Southern,54.2237,330,19.4206,224,37.2873,314,42.7722,291
605,Georgia St.,50.0323,214,20.4291,159,33.3506,200,35.1648,146
606,Georgia Tech,47.0509,80,21.5307,102,32.4427,156,38.0411,216
607,Gonzaga,44.1818,10,20.9213,132,31.0518,100,29.5584,29
608,Grambling,52.9355,317,18.6233,275,36.2567,294,36.0562,163
610,Hampton,44.6483,18,25.3836,9,36.393,298,35.3517,149
611,Hartford,52.5913,305,21.4445,107,33.5165,211,45.2297,318
612,Harvard,51.2542,268,21.2716,117,34.5517,251,32.9492,92
613,Hawaii,48.1893,124,20.9257,131,32.7568,167,39.3266,240
614,High Point,49.6058,193,20.1215,179,34.6693,255,35.2168,148
615,Hofstra,44.9651,27,19.5704,211,30.7957,88,45.6927,320
616,Holy Cross,47.9425,113,23.0217,39,27.761,14,48.4651,331
617,Houston,46.3608,51,21.5271,103,34.8214,262,32.5474,81
618,Houston Baptist,54.9623,337,19.1656,239,36.8659,309,39.6982,249
619,Howard,50.5082,236,19.8206,194,36.2791,296,33.9921,120
620,Idaho,49.5533,186,20.5654,152,35.5283,275,36.3312,173
621,Idaho St.,49.4143,178,18.8259,265,32.7336,165,44.328,307
623,Illinois,44.2068,11,21.3323,115,31.7662,125,26.6919,12
622,Illinois Chicago,47.5835,99,19.5899,210,33.0712,186,32.6969,84
624,Illinois St.,46.8616,72,19.5084,218,27.0021,6,31.0086,55
625,Indiana,54.5685,334,21.1425,121,32.8277,173,36.4848,177
626,Indiana St.,49.8783,209,19.2402,235,34.7008,257,42.3007,288
627,Iona,47.8622,111,23.0013,40,30.6256,82,41.4167,275
628,Iowa,49.8088,202,18.9337,253,31.3735,113,31.9949,71
629,Iowa St.,47.245,84,16.125,339,27.4956,12,28.5325,20
630,IUPU Fort Wayne,51.5296,280,18.8377,264,32.9087,180,37.03,194
631,IUPUI,53.3774,322,21.7092,95,31.0625,102,28.928,23
