TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
North Dakota,47.0588,241,18.8545,112,29.63636,239,36.51718,159
UAB,48.3516,180,21.7828,274,33.50340,109,29.40869,322
Delaware,46.2630,271,18.7233,104,33.07292,122,41.95308,33
Valparaiso,55.6735,5,21.7583,273,31.21019,188,41.74757,35
Jacksonville,46.1157,275,21.4847,260,32.96804,126,36.27336,165
Loyola Chicago,50.3592,96,20.9095,236,30.45793,214,35.33638,196
Colorado,48.3221,183,19.8768,169,33.62910,105,40.93960,46
Dartmouth,45.5603,296,20.5519,209,28.30601,284,33.40381,241
Canisius,52.7041,34,19.6660,157,34.84321,71,34.26937,224
North Carolina Central,49.3314,126,22.9782,317,30.58252,210,45.46805,11
Miami FL,51.9309,49,16.6632,16,31.29771,184,34.55285,215
Albany,49.6281,114,21.2262,250,31.68044,172,40.04577,67
UTSA,46.9057,246,20.6135,214,30.87277,199,36.43725,161
New Mexico,48.4022,178,17.6267,46,29.28322,248,45.67493,9
Jacksonville St.,49.3516,125,20.4226,204,31.69268,171,43.85965,21
Towson,48.2873,186,22.2309,296,39.13858,6,40.32452,63
Toledo,48.2490,191,17.7335,49,28.88889,267,37.48379,123
Nebraska Omaha,51.5297,63,20.1294,186,24.48560,337,28.91422,326
Mississippi,49.1480,134,15.9397,9,34.09907,92,38.83408,93
Detroit,50.8065,78,15.4863,3,31.84307,163,35.75269,180
Arizona St.,52.2912,43,18.5151,91,28.39196,279,35.94705,174
Kent St.,48.8497,149,18.8964,118,34.70588,75,43.76672,22
Northern Colorado,51.3032,68,20.1687,188,31.41361,180,33.18500,248
Portland,44.0303,324,23.3353,326,33.65759,103,36.13392,167
Dayton,52.9589,30,21.6994,269,35.22142,60,39.67391,76
Rice,46.9160,244,16.7395,18,19.20327,347,28.21522,334
DePaul,47.3860,231,19.7663,161,31.70530,170,31.67606,276
Air Force,54.7436,10,18.5908,95,23.74020,342,30.76923,299
UNC Asheville,48.6297,161,20.5893,212,33.03483,125,38.12424,108
St. Francis PA,48.2318,194,22.0238,282,27.61117,295,31.56516,280
Eastern Illinois,50.0656,101,21.2509,251,30.17876,226,34.22951,225
UMKC,47.4208,230,23.0475,318,29.09270,257,30.32940,307
Fairleigh Dickinson,48.8955,148,22.4900,302,26.19503,321,35.22388,202
Hartford,48.3207,184,22.1953,293,25.95870,323,30.73511,300
Providence,45.9168,282,19.0644,127,37.41064,25,37.39086,127
Stanford,47.4775,227,17.2527,35,32.11974,147,33.36663,243
Hawaii,49.8039,109,20.7309,222,35.46132,56,37.08683,136
Penn St.,44.2780,320,18.8300,110,30.76225,202,37.20791,135
Louisiana Lafayette,48.5585,167,19.6234,155,29.09245,258,35.13081,204
Nebraska,45.4049,297,17.2088,30,26.35315,319,28.37450,331
North Carolina St.,54.2023,15,17.9662,64,34.67601,76,40.91595,47
Washington,48.2393,193,19.7919,164,37.29822,26,33.81668,234
Western Illinois,51.5745,61,19.5122,146,24.84316,336,39.78495,73
Jackson St.,44.4545,315,18.0953,68,27.34559,301,38.39662,102
IPFW,49.4886,121,20.3177,198,31.42857,179,38.44765,100
Eastern Kentucky,54.0304,16,17.8840,60,27.87046,293,34.78016,210
Arizona,52.4832,39,19.5196,147,34.99555,65,37.35127,129
TCU,43.2806,331,21.9135,278,31.96172,157,40.57971,54
Texas Tech,46.4661,268,21.4765,259,32.10672,149,38.08411,109
UC Irvine,48.0178,200,18.6376,99,30.40752,218,30.17839,310
California,48.0000,202,18.9316,121,32.52252,137,31.20000,289
IUPUI,50.5133,90,18.8371,111,22.10953,346,24.21498,347
Iowa St.,53.7660,18,18.4994,90,34.19773,88,32.97016,254
UNC Wilmington,46.5945,260,21.3841,255,31.49758,177,36.72820,152
Ohio,53.6164,21,18.5364,92,27.37882,299,31.34172,285
USC Upstate,49.5467,119,19.9569,173,35.40146,57,34.27762,223
Davidson,53.1196,26,17.0099,25,29.01961,261,38.92387,92
San Diego St.,48.5294,170,18.0986,69,31.81404,166,35.34961,195
UCF,51.3915,65,20.2861,197,34.60381,78,40.35421,60
Illinois,47.5802,221,17.4387,39,33.24089,117,31.01235,295
San Jose St.,41.0648,344,20.1984,190,33.36380,112,36.67497,153
Kennesaw St.,44.7483,308,20.9612,240,30.62558,208,37.35239,128
Florida,55.2514,6,17.7846,55,34.17173,89,31.06023,294
Pacific,50.5233,89,17.8202,57,29.22932,251,37.67442,118
Kentucky,52.6171,37,19.3589,138,34.73877,74,41.70799,36
Central Michigan,48.3489,182,19.7838,163,30.96154,195,39.31464,84
Texas,45.7237,292,21.4435,257,34.55008,80,40.35088,61
Old Dominion,44.9334,304,20.7065,220,38.89876,8,34.62652,213
Georgia St.,50.0308,103,17.9581,63,29.27199,250,34.91672,208
Cal St. Fullerton,53.6331,20,18.0836,67,25.20661,332,35.49732,187
Cornell,47.4428,228,19.5522,150,28.20513,285,30.68592,301
Tulsa,48.5512,168,21.6971,268,30.25135,225,43.58368,24
Eastern Washington,48.7576,153,19.3071,134,29.38144,243,32.02650,272
High Point,48.0340,199,17.8609,58,34.03241,93,32.68779,262
Wisconsin,48.5969,163,15.6887,5,32.58246,136,29.69388,320
Saint Mary's,53.6859,19,18.3397,81,36.91887,31,36.96581,142
Austin Peay,51.6804,55,23.2031,321,28.86387,268,37.41281,126
Charleston Southern,48.6479,159,17.9154,61,33.60215,106,29.74684,318
Drake,52.2415,44,19.7624,160,24.48378,338,37.47759,124
Norfolk St.,46.2162,272,21.1383,247,33.71997,101,40.00000,69
Nicholls St.,48.7093,154,20.1910,189,30.06724,230,40.01229,68
Arkansas Pine Bluff,44.6690,309,20.9094,235,31.38489,181,32.98184,252
Mercer,50.3141,97,19.5530,151,29.62963,240,35.63678,183
Utah Valley,49.6338,113,18.8668,115,25.66667,329,30.49268,304
LIU Brooklyn,54.3740,12,20.2729,194,35.24804,58,45.57360,10
Binghamton,41.8206,341,23.2479,324,26.50376,315,33.57520,238
West Virginia,45.6473,294,19.8212,167,37.14286,27,40.75749,50
American,47.2502,236,20.1162,185,28.51109,276,30.85178,297
North Carolina A&T,45.6674,293,22.6940,307,29.79233,235,42.57266,29
Montana St.,47.7574,213,16.9923,24,29.19132,252,37.33418,130
Vanderbilt,48.4440,173,19.4397,141,27.90909,292,35.06882,206
USC,47.1781,238,19.5508,149,29.14439,255,29.97260,314
Missouri,51.2419,70,18.9584,122,38.70418,11,35.07203,205
BYU,50.1889,98,16.9533,23,32.76265,131,36.04157,171
Northern Kentucky,48.0558,198,18.8809,117,25.28736,331,28.39325,330
Western Kentucky,48.5812,165,22.2071,294,34.84349,70,37.57225,121
Buffalo,50.4248,94,23.6638,331,35.10324,62,38.53155,97
Virginia,51.6480,57,18.1549,72,28.32700,283,31.56425,281
Lafayette,52.7156,33,18.6640,100,25.14451,333,28.21948,333
Southeastern Louisiana,45.5939,295,19.4811,144,26.42512,317,36.01533,173
Chattanooga,46.0072,277,20.0648,180,33.99281,94,43.02741,26
Elon,49.2027,132,17.4540,40,26.55525,314,29.21412,324
Gonzaga,54.9277,8,17.2137,31,37.78409,21,40.81414,49
La Salle,51.8902,50,17.1286,28,28.99563,262,31.33092,286
Kansas,53.3431,25,20.2813,196,33.75635,100,39.48267,79
Washington St.,49.5538,118,19.1378,128,31.57895,175,34.14634,228
Colorado St.,49.1558,133,17.2276,32,41.43744,2,44.06318,19
SIU Edwardsville,47.6515,218,21.6796,267,28.57143,274,32.80303,258
Campbell,48.2461,192,20.0818,182,32.66284,133,30.82231,298
Florida St.,49.9431,106,22.0358,284,30.90211,198,40.38680,57
Youngstown St.,49.1208,136,17.0318,26,26.50273,316,36.01815,172
Southern,49.1139,137,16.8060,20,25.78680,326,40.25316,66
Longwood,48.2778,189,22.6792,306,28.74419,271,30.54771,303
George Mason,48.4612,172,20.4206,203,35.00000,64,35.27462,199
