St. Peter's,42.8082,1,22.1490,66,32.36086,162,41.28269,246
Temple,42.9626,2,18.2571,283,27.85888,19,26.93727,10
Kentucky,43.1072,3,19.7473,218,31.23342,108,29.68885,25
Kansas,43.2073,4,20.0181,198,31.28706,111,31.37255,48
Southern California,43.2143,5,19.7806,215,28.84326,28,37.92208,183
Florida St.,43.4894,6,23.6779,21,31.97625,141,34.78013,116
Duke,43.6281,7,21.2631,116,32.13421,149,34.01361,97
Wake Forest,43.7831,8,19.1590,247,33.22760,201,38.51852,197
Coastal Carolina,43.8661,9,20.4126,176,32.56705,172,29.60045,23
Murray St.,44.0065,10,23.9868,16,32.28085,159,34.71922,115
St. Louis,44.0389,11,21.2178,119,33.04982,196,33.77101,92
Mississippi St.,44.0439,12,16.5569,336,30.71057,83,24.80967,5
Tulsa,44.1372,13,15.0525,345,27.36593,10,36.40553,147
Connecticut,44.1871,14,18.0130,294,34.43361,251,26.60681,9
Richmond,44.1879,15,22.4618,55,35.03507,274,36.22211,141
Hofstra,44.2255,16,19.2291,243,31.25503,109,49.48002,330
Georgia Tech,44.2726,17,21.3990,104,32.93724,192,34.84775,118
Princeton,44.4166,18,23.6890,20,29.01099,32,37.43737,174
Loyola MD,44.4274,19,19.9322,203,34.93976,271,45.80527,300
Baylor,44.4364,20,17.7288,309,32.54113,169,34.15578,99
Virginia Tech,44.5870,21,22.1733,63,33.21357,200,35.14623,124
Pittsburgh,44.6097,22,16.7613,334,30.38384,74,33.82900,93
Texas El Paso,44.6231,23,22.2108,62,30.10883,66,43.23725,277
Utah,44.6784,24,17.3058,323,31.98015,142,44.09357,285
Dayton,44.7050,25,20.9082,139,27.61905,13,40.84720,233
Purdue,44.8108,26,23.6640,23,31.44178,115,36.75676,157
Southeastern Louisiana,44.8710,27,19.5544,224,36.86545,316,37.50787,175
Texas,44.8828,28,20.2472,187,30.64275,80,35.24629,127
Maryland,44.9323,29,21.4407,102,36.54071,308,29.60361,24
Drexel,44.9881,30,19.9099,205,32.89946,191,46.24105,305
Vermont,45.0025,31,20.2951,183,33.96813,230,34.45505,105
Iona,45.1111,32,24.7297,8,32.81690,183,47.30159,313
Mount St. Mary's,45.1401,33,22.9813,41,33.48274,210,31.67524,58
UAB,45.1484,34,21.5493,93,28.25342,26,37.55708,177
Tennessee,45.2486,35,23.1563,33,32.02226,145,40.71886,232
Marshall,45.2685,36,18.0214,292,33.01295,195,36.41680,148
Radford,45.2909,37,17.2443,325,29.38449,44,29.47368,22
Ball St.,45.3416,38,18.0316,291,31.48688,117,32.11180,67
Western Illinois,45.3642,39,19.1527,248,32.36135,163,45.91611,304
Jackson St.,45.4106,40,19.6800,221,31.17803,104,47.88647,321
Arkansas Pine Bluff,45.5233,41,20.3681,178,27.78246,17,54.53488,342
Old Dominion,45.5520,42,22.6415,48,30.04448,64,29.74277,27
Arizona St.,45.5542,43,20.8054,146,30.90090,92,34.79549,117
Xavier,45.6209,44,17.9077,302,29.44364,45,32.85449,77
Winthrop,45.6722,45,22.9221,42,29.92234,57,39.34929,215
Maine,45.6913,46,21.0106,133,31.74452,131,30.00620,32
Belmont,45.7464,47,20.6206,157,33.98223,231,37.10209,170
Nevada Las Vegas,45.7792,48,23.0111,39,30.84821,89,47.16647,311
Syracuse,45.8837,49,22.0179,71,34.55460,260,25.62791,6
Missouri,45.8995,50,27.0638,3,37.66447,329,38.94180,206
Prairie View A&M,45.9862,51,23.0474,38,31.87272,135,35.98616,139
Hampton,46.0114,52,24.0520,15,37.39206,324,39.25926,212
Utah St.,46.0606,53,17.8790,304,27.16367,6,29.69697,26
Arkansas St.,46.1194,54,17.7191,310,30.72289,84,35.22388,126
St. Mary's,46.1224,55,15.9128,340,30.72464,85,30.25510,38
Northeastern,46.2243,56,22.3620,58,36.02004,300,28.94737,19
North Carolina St.,46.3317,57,19.9088,207,33.82524,228,36.58291,153
Clemson,46.3801,58,24.6765,9,33.64116,217,35.40724,130
Illinois,46.3945,59,17.9257,300,29.93967,59,31.75740,61
